Customer_ID,Device_Age_Years,OS,Rooted,SIM_Age_Years,Phone_Vintage_Years,Device_Fingerprint
CUST_00000001,4.9,Android 13,False,6.0,6.7,734f073b975e0a89e4f8d290ab2fd5d9
CUST_00000002,0.8,Android 14,False,6.1,0.9,64f64dc450b38b4a27f0c83aea3d5002
CUST_00000003,5.7,Android 14,False,2.2,6.8,2fd51676fef4803666db06886b083fb3
CUST_00000004,1.4,Android 14,False,4.4,2.5,986c3ccb96cbb180fd4a4ad90a910029
CUST_00000005,0.5,Android 13,False,3.7,1.4,354321c5a9388be664b5d476c32c1f48
CUST_00000006,1.0,Android 12,False,6.0,1.8,7e2725b99ae6d32b598f6511f53291dd
CUST_00000007,0.2,Android 13,False,9.5,1.6,8314ef17a9bb649d071a29a9b20e0508
CUST_00000008,0.3,Android 11,False,6.9,2.5,bf682e8a0cbce46cfaf9d6413ad8aabd
CUST_00000009,0.2,Android 14,False,9.1,3.7,4e1fa00efdd97db560adfdb000e1220d
CUST_00000010,1.3,Android 12,False,5.5,2.5,1a265ba631e3540e8f1c67694627af8b
CUST_00000011,5.2,iOS 16,False,9.0,5.5,6f7e96a7599220e1c7a9e7c3a31feafa
CUST_00000012,0.3,iOS 17,False,0.5,1.1,e96942d059fed13a52d0d929524080b4
CUST_00000013,1.9,Android 13,False,3.6,2.3,a21f8e13fbce7b32edcbdd16ac4a3c6b
CUST_00000014,1.1,Android 13,False,0.8,1.4,77ca6b42a24462b6c50741c808f77489
CUST_00000015,0.1,Android 12,False,8.2,1.8,031e1f494291fec20f27411aa18c7071
CUST_00000016,0.5,Android 12,False,3.6,5.5,82f9bd0ffc2c939e6db27596dc606772
CUST_00000017,1.6,Android 11,False,0.7,4.6,8b6e97ff7c8bfb2505cbcb2e6cc552f0
CUST_00000018,3.4,Android 14,False,8.9,5.2,591c5e5826c67bd7208acd58b89a817b
CUST_00000019,3.9,Android 14,False,5.7,5.1,167021bb7d9f8ec10ac27ba851679443
CUST_00000020,1.7,Android 13,False,0.4,3.9,9ad0f59cd65accad789cb073046c4699
CUST_00000021,1.5,Android 14,False,5.1,4.6,56b971a1605df381bf2b32f62c37681d
CUST_00000022,2.4,Android 14,False,2.4,3.2,8c1224ee0e0565a264a98868a8ed29ec
CUST_00000023,1.4,Android 14,False,8.1,1.5,d3d282c56f45593bce9424e104f8b2ff
CUST_00000024,1.1,Android 11,False,8.9,5.7,0498c55da2e96ad8fc18d00675fd771c
CUST_00000025,2.1,Android 11,False,1.2,6.3,3a120c2ab043359caa125c0bb7627e48
CUST_00000026,5.0,Android 13,False,0.2,5.8,d983a30efcc1a3b26aad60bdf222ec26
CUST_00000027,0.3,Android 13,False,3.4,1.9,50c7dd4c5dd629c7014585de9cf29081
CUST_00000028,2.8,Android 14,False,3.7,3.9,477091d9089b70407c7d6b8f0953a340
CUST_00000029,1.1,iOS 16,False,3.1,2.1,e6e285696a04e0b3c648ca12a9ac05c7
CUST_00000030,2.3,Android 14,False,0.6,4.5,7f63ae69ef6541c06ceb930adf9afa65
CUST_00000031,0.4,iOS 17,False,4.9,2.1,445e4e8ae63fdc6da874754a11c1eb31
CUST_00000032,3.8,Android 14,False,2.5,4.9,b37d23b5d2254d8b248a3da201806d08
CUST_00000033,3.0,Android 13,False,5.4,4.6,3025a6292ef4e7029c000d4fae4b1eb8
CUST_00000034,0.6,Android 11,False,0.5,2.6,4a84ecdcc9732cdad484eff3576dbb25
CUST_00000035,0.4,Android 12,False,2.3,0.6,40bff0a602ee20bc9eb215a4a97b0cd9
CUST_00000036,2.0,Android 14,False,9.4,5.0,95c3b0fdef6f0a0c2726be6b42794eac
CUST_00000037,1.1,Android 14,False,8.8,1.2,bda302d90073c9eff16f186fb1e105e6
CUST_00000038,3.3,Android 12,False,5.3,5.8,82c014195ecad6deef5bfd5b01daec14
CUST_00000039,5.7,Android 14,False,6.4,6.3,265f397fda6da7f4ddc33819ba266696
CUST_00000040,4.7,Android 14,False,8.9,5.2,882eec81827ec0cec985623dea4295ae
CUST_00000041,0.2,Android 13,False,9.0,1.0,44aa5bca51d83b37ce8816b8db7ba100
CUST_00000042,0.8,Android 14,False,0.2,1.2,7b2676a4cc6ac2fca18dd353bb66e3f2
CUST_00000043,3.3,Android 13,False,2.3,5.0,9d8737208a945ea06e8e4f5702c81614
CUST_00000044,2.0,Android 14,False,6.5,2.6,bb8d9ac0392cb24ce515e92031fc15d3
CUST_00000045,0.5,Android 12,False,3.7,4.2,4bb12cc8c85927d46222f26115adb4e0
CUST_00000046,2.7,Android 14,False,8.9,6.8,c7ec221ed9396727b5dfbecfa1874b5d
CUST_00000047,2.2,Android 12,False,5.0,3.8,058e991c90929917f8ef561fe5b5ec94
CUST_00000048,0.2,Android 12,False,6.5,2.3,b525f25ba6c7121377c845ef839b4c6f
CUST_00000049,6.1,iOS 17,True,3.8,6.7,f63c264d9974e7494b4aded3721abc85
CUST_00000050,3.2,iOS 17,False,9.6,3.3,5f5c505b5f5bcb23fa39c18b6e25b325
CUST_00000051,2.6,Android 14,False,3.2,3.0,a54d1a19c98409c033ff662e614ccdf4
CUST_00000052,4.6,Android 13,False,5.7,6.6,86699ab4a5d987b3a29ce0eeae58cd66
CUST_00000053,1.1,Android 13,False,5.2,6.9,92170743e4c2d3e72d214b9059c42809
CUST_00000054,3.5,Android 12,False,3.7,5.0,d8b34bc8c207814c0c621b453765d4a1
CUST_00000055,5.0,Android 11,False,9.1,5.8,89acad60dcb5b4106098b26dc3d591ff
CUST_00000056,3.7,Android 13,False,7.0,5.7,6cff2a0c1266dda81f0c18adf3b32302
CUST_00000057,1.1,Android 10,False,1.0,2.7,9b92a1c2aa65d30396df8c29cedc3707
CUST_00000058,1.9,Android 14,False,2.9,3.5,3e9f2151802f719a43672c0ff7a74773
CUST_00000059,0.6,Android 14,False,3.7,0.7,a0f9fe9fc4b11f43ade02043ccdd0576
CUST_00000060,1.3,Android 13,False,6.3,5.5,112ad28b95e99bf470b1bb7d5fef5bb3
CUST_00000061,2.2,Android 14,False,6.4,4.0,5e6ebc6654f59ce5a5820bafdc84bd4f
CUST_00000062,1.3,iOS 16,False,8.0,3.9,d3b9ae24288bc05006ad979462248ca2
CUST_00000063,0.1,Android 13,False,9.6,1.0,6510e1ea9cb7064e9fb1819cf9654bed
CUST_00000064,0.6,Android 12,False,1.6,3.2,df545a5fd14aa2c0c214d7e5e0452193
CUST_00000065,3.4,Android 13,False,2.9,5.1,d563b8dff461deb580fdf8abeb9caf04
CUST_00000066,2.5,Android 12,False,4.3,4.1,e5bc42e70039e7fc2e871afeb9a7e625
CUST_00000067,0.2,Android 13,False,1.2,5.4,d376689fb9bdd973de4860c5b43021d2
CUST_00000068,4.3,Android 14,False,4.8,6.1,049c1d9b80247a4281d67384dde5b0a2
CUST_00000069,0.7,Android 13,False,4.4,3.6,8cfcc9575c19cfc34d4c65b494ddf654
CUST_00000070,0.3,Android 13,False,3.8,4.6,1b04b87ab0a62d23b04347bb4948956f
CUST_00000071,4.1,Android 13,False,1.7,6.1,9fc0a40924773a0c544e242438f37081
CUST_00000072,0.5,Android 13,False,9.4,0.7,9a19bf69a60695157a8489b01168d3a2
CUST_00000073,2.2,Android 13,False,5.5,4.7,d519cf8db907c5169506ba6b63e4e3ae
CUST_00000074,6.1,Android 13,False,2.0,6.7,eae50e3b2d0abae8ea5c74aae448a349
CUST_00000075,0.1,Android 14,False,6.9,0.6,a3ace7b431b72c9838c162330e553df7
CUST_00000076,0.2,Android 14,False,8.2,6.0,5ccbf940c6976d0891ec347ef69e4536
CUST_00000077,3.2,Android 14,False,8.8,5.0,0b32bdb3c220e00b84bc0f56e84351e4
CUST_00000078,0.5,Android 11,False,7.5,2.3,b12f310750cce409c286c1cfa7bf51f9
CUST_00000079,1.3,iOS 15,False,7.8,3.2,c7a22c820a1fa123aeb3bffbcc45baaa
CUST_00000080,2.7,iOS 17,False,7.5,6.1,9f6017316d7b5c1e85d0700481194ccb
CUST_00000081,3.3,Android 14,False,8.3,6.4,9e2e86a22bbf23629f1c6b84871959b8
CUST_00000082,0.1,Android 10,False,9.1,3.0,f44d4ac432895a32034a17ae48a4d26a
CUST_00000083,6.4,Android 14,False,5.8,6.7,71b1b6e07a22935b9febd87719f7970a
CUST_00000084,0.9,Android 13,False,6.8,2.4,72125515806fc6bf7ac194e28d867704
CUST_00000085,0.6,Android 12,False,5.0,5.6,94bcb603725f5196d12a5745bac87a78
CUST_00000086,3.0,Android 13,False,3.6,3.4,398d6bfda3a7500aa9c9328d7d90bf95
CUST_00000087,3.4,Android 14,False,1.1,5.4,50483968d196f57f5ac7e6de20c9bbe1
CUST_00000088,0.8,Android 12,False,7.1,1.0,09d9286e778238c32e4e040f51a34f25
CUST_00000089,2.6,Android 14,False,3.8,6.9,f8752cd43902fe462c9523daee14a570
CUST_00000090,5.2,iOS 17,False,3.8,6.9,91fe045550b89a7561a90ee58cc20197
CUST_00000091,1.8,Android 12,False,9.1,4.1,b41bcbf01ffdcd28dd6e9389a53ace29
CUST_00000092,0.3,Android 13,False,0.7,0.6,49baeba9bfcb18a9e3cbcf1393324cde
CUST_00000093,3.5,Android 14,False,5.9,4.7,264d672cf20aa05917af0e51d0ae70fa
CUST_00000094,2.1,Android 13,False,2.3,2.4,44e892348cf9969d6479083cfe395ce3
CUST_00000095,0.4,Android 14,False,8.9,6.8,0619a390e2a4a82b410089f8e7f63e5a
CUST_00000096,0.6,iOS 15,False,9.7,1.0,229f42a6df31acc201c79288475af31a
CUST_00000097,2.3,Android 13,False,6.3,5.0,eb60b3534d094997bc0bad50de3122ae
CUST_00000098,0.3,iOS 17,False,9.5,0.8,bb584ebf71c5208a7ba89354adb4a37c
CUST_00000099,1.3,Android 13,False,2.0,4.5,22d5ea76a0e1323246abd0b165f41b17
CUST_00000100,0.4,Android 13,False,9.7,4.3,d8ec857fd1cfe7a5f5a43e55d0a6137b
CUST_00000101,1.3,Android 12,False,8.2,4.0,8f8b1fdc50b7c2841461c0466674e05a
CUST_00000102,5.3,Android 14,False,9.5,6.4,2ada63dc09c7bee818fc7b450f6a2385
CUST_00000103,3.0,Android 13,False,8.7,3.2,e1efb899b89e30f37319b1811f935dd3
CUST_00000104,2.4,Android 14,False,9.9,2.9,57b1003dbf5279882c3887bdfaa19a7d
CUST_00000105,2.9,Android 13,False,8.4,3.0,e727a2c9bb33d1b84184871fbbcf0d72
CUST_00000106,0.9,Android 13,False,0.7,3.2,a00f5d0d6090efe3eb388e18f0e2af82
CUST_00000107,7.0,Android 11,False,5.6,7.0,5629f913b87094b924412fa9211068a2
CUST_00000108,1.6,iOS 17,False,4.6,6.0,be5e154cf936449a239cfbd7b0e806bf
CUST_00000109,1.1,iOS 17,False,6.7,4.4,a86c7a51ad02fe65f6f62ab7985c6591
CUST_00000110,0.8,Android 13,False,5.3,1.2,c33a22d5b9e62d2d8cc821ec3d82d7a6
CUST_00000111,3.4,Android 13,False,5.7,6.0,27a620fe9d747f6f50566780d37c3a15
CUST_00000112,0.1,Android 13,False,7.6,1.4,d80a4ed25da5cfc16a7ba2c5c2525c72
CUST_00000113,0.3,Android 12,False,0.2,1.9,951df7a0645c2a3598e93025e69d67a1
CUST_00000114,1.4,Android 13,False,9.1,3.0,3dd275e50902d7b7bf7899fef6fd1ba1
CUST_00000115,2.3,Android 13,False,6.3,5.6,2ef8cf62a903aa894192ede7b140c94b
CUST_00000116,1.4,iOS 17,False,5.0,1.5,bb345cb3dcf233527fe03a98db067d63
CUST_00000117,3.4,Android 13,False,3.4,6.9,7491b6b9cc3e6bfc8b549ca203cf7806
CUST_00000118,0.2,Android 14,False,1.4,1.0,3f0df4cf704442e5678a590850222155
CUST_00000119,0.9,Android 14,False,3.5,4.7,98f937bd69e7a7645472f0fa31759422
CUST_00000120,0.9,Android 13,False,2.0,4.8,d0bf371604218c6d6ac0bda946c243a6
CUST_00000121,0.5,Android 14,False,1.0,2.3,a900069d7a9b7010ca48a113f21103b1
CUST_00000122,0.7,Android 13,False,5.1,1.8,99d62cd130ab796c57e83a4fa6689ec6
CUST_00000123,3.6,Android 14,False,0.9,5.7,c8fb82d893a2209a88d17a95f19792f8
CUST_00000124,0.3,iOS 17,False,8.1,0.9,d2557dfe118f65c17b880bd36c84cb1d
CUST_00000125,0.8,Android 14,False,4.9,1.9,25a44d1c15086e7d5027ffd5b4e9ff15
CUST_00000126,2.6,Android 13,False,0.5,3.5,a7abc46e8c310e7b7ff372a064a870cc
CUST_00000127,3.3,Android 12,False,5.4,6.3,17be79298d71eda20b30b1237814d119
CUST_00000128,1.0,Android 13,False,2.8,4.0,2b8ec8fa8d25409fa27da44af20f2e79
CUST_00000129,0.6,Android 14,False,3.3,2.6,522cffbb4fa991784c0c2bbeb10052b2
CUST_00000130,3.0,Android 10,False,7.9,4.4,9327e920382dcedae0df655d018ba029
