Fraud_Record_ID,Customer_ID,Transaction_ID,Fraud_Type,Fraud_Score,Device_Risk,Geo_Risk,Velocity_Risk,AML_Risk,Final_Label
FRD_00000001,CUST_00000292,TXN_0000027594,None,0.289,0.242,0.136,0.383,0.405,0
FRD_00000002,CUST_00000655,TXN_0000062051,None,0.111,0.162,0.049,0.064,0.14,0
FRD_00000003,CUST_00000376,TXN_0000035603,None,0.17,0.159,0.1,0.156,0.277,0
FRD_00000004,CUST_00000902,TXN_0000085483,None,0.199,0.169,0.326,0.299,0.001,0
FRD_00000005,CUST_00000806,TXN_0000076371,None,0.226,0.144,0.164,0.57,0.001,0
FRD_00000006,CUST_00000235,TXN_0000022231,None,0.125,0.206,0.161,0.033,0.064,0
FRD_00000007,CUST_00000916,TXN_0000086724,None,0.097,0.146,0.141,0.069,0.0,0
FRD_00000008,CUST_00000428,TXN_0000040505,None,0.127,0.265,0.023,0.033,0.107,0
FRD_00000009,CUST_00000954,TXN_0000090359,None,0.189,0.231,0.327,0.153,0.022,0
FRD_00000010,CUST_00000958,TXN_0000090753,None,0.304,0.285,0.062,0.767,0.0,0
FRD_00000011,CUST_00000029,TXN_0000002745,None,0.131,0.064,0.283,0.13,0.095,0
FRD_00000012,CUST_00000094,TXN_0000008929,None,0.098,0.242,0.001,0.051,0.0,0
FRD_00000013,CUST_00000415,TXN_0000039275,None,0.203,0.191,0.147,0.405,0.025,0
FRD_00000014,CUST_00000148,TXN_0000014020,None,0.117,0.167,0.12,0.083,0.067,0
FRD_00000015,CUST_00000730,TXN_0000069157,None,0.078,0.184,0.001,0.052,0.001,0
FRD_00000016,CUST_00000484,TXN_0000045830,None,0.114,0.253,0.001,0.074,0.032,0
FRD_00000017,CUST_00000320,TXN_0000030319,None,0.229,0.222,0.014,0.397,0.244,0
FRD_00000018,CUST_00000224,TXN_0000021241,None,0.183,0.262,0.004,0.349,0.018,0
FRD_00000019,CUST_00000484,TXN_0000045889,None,0.19,0.283,0.022,0.34,0.01,0
