Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI,Interest_Rate,Tenure_Months,Debt_to_Income,Income_Stability,Fraud_Score,Credit_Score,Approval,Default,NPA
LOAN_00000001,CUST_00000001,Gold Loan,1490788.49,132378.05,11.89,12,6.4699,0.815,0.223,652,0,0,0
LOAN_00000002,CUST_00000002,Two Wheeler Loan,139110.54,3192.32,13.38,60,0.0652,0.691,0.187,646,1,0,0
LOAN_00000003,CUST_00000003,Home Loan,3975447.69,40321.64,9.0,180,1.6005,0.865,0.182,646,0,0,0
LOAN_00000004,CUST_00000004,Personal Loan,538522.72,48395.49,14.17,12,1.4666,0.865,0.219,634,0,0,0
LOAN_00000005,CUST_00000004,Business Loan,1934700.86,172557.23,12.73,12,6.6959,0.799,0.219,634,0,0,0
LOAN_00000006,CUST_00000006,Personal Loan,913854.38,24362.49,12.66,48,0.5203,0.527,0.25,657,0,0,0
LOAN_00000007,CUST_00000008,Two Wheeler Loan,1885047.99,168438.11,13.08,12,6.3835,0.822,0.29,604,0,0,0
LOAN_00000008,CUST_00000008,Personal Loan,359063.81,32112.73,13.25,12,7.6005,0.893,0.29,604,0,0,0
LOAN_00000009,CUST_00000008,Home Loan,2697855.91,27749.96,9.24,180,8.6522,0.662,0.29,604,0,0,0
LOAN_00000010,CUST_00000009,Two Wheeler Loan,1565413.66,137479.16,9.8,12,3.1915,0.784,0.32,611,0,0,0
LOAN_00000011,CUST_00000014,Auto Loan,1785704.21,58792.02,11.39,36,0.1643,0.888,0.314,762,1,0,0
LOAN_00000012,CUST_00000015,Home Loan,5134098.66,40411.22,8.23,300,0.0568,0.516,0.318,771,1,0,0
LOAN_00000013,CUST_00000016,Two Wheeler Loan,534716.51,8824.52,9.81,84,0.0479,0.813,0.281,726,1,0,0
LOAN_00000014,CUST_00000017,Two Wheeler Loan,454483.11,10357.18,13.07,60,0.315,0.851,0.204,663,1,0,0
LOAN_00000015,CUST_00000017,Personal Loan,455752.4,41174.16,15.18,12,1.5674,0.468,0.204,663,0,0,0
LOAN_00000016,CUST_00000019,Personal Loan,542851.09,26233.42,14.66,24,1.6103,0.824,0.334,637,0,0,0
