transaction_frequency,average_transaction_amount,median_transaction_amount,largest_deposit,largest_withdrawal,average_balance,minimum_balance,maximum_balance,balance_variance,active_month_count,transaction_consistency,average_monthly_income,median_income,income_variance,income_consistency,average_monthly_expense,monthly_savings,monthly_transaction_count,cash_flow_stability,expense_stability,total_income,total_expense,essential_expense,discretionary_expense,atm_withdrawals,emi_payments,utility_payments,investment_amount,atm_ratio,emi_ratio,food_ratio,groceries_ratio,investment_ratio,others_ratio,salary_ratio,shopping_ratio,travel_ratio,utilities_ratio,expense_ratio,savings_ratio,essential_expense_ratio,discretionary_expense_ratio,atm_cash_ratio,financial_buffer,cash_reserve_ratio,Gender,Age,Education,Employment_Type,Annual_Income,Monthly_Income,Account_Type,Customer_Segment,Savings_Balance,Credit_Card_Holder,Device_Age_Years,OS,Rooted,SIM_Age_Years,Phone_Vintage_Years,KYC_Status,Face_Match_Score,OCR_Match_Score,Liveness_Score,Address_Match_Score,kyc_verified,total_loans,total_loan_amount,total_monthly_emi,avg_interest_rate,max_debt_to_income,avg_credit_score,approved_loan_count,income_stability_index,net_disposable_income,dti_ratio,device_risk_index,biometric_identity_score
98,6399.608265306122,1743.145,149361.8,23081.59,24503.80193877551,232.48,150032.26,1328822775.4010444,12,0.2603353092680783,27885.40833333333,3632.445,2557025623.335015,0.3654805457805272,24378.059166666662,3507.349166666667,8.166666666666666,0.0825597455928126,0.4948367253093525,334624.89999999997,292536.71,64652.6,200947.63,26936.48,0.0,44275.329999999994,72998.68000000001,0.0920789736098419,0.0,0.1116556277671954,0.069657138073372,0.218150771206805,0.0,0.0,0.0621179475218682,0.2636038396685325,0.1513496545442108,0.8742227789982158,0.1257772210017844,0.2210067926175829,0.686914233772575,0.0920789736098419,0.0095364441611447,1.005158030475239,Male,63,High School,Salaried - Private,411719.2,34309.93,Savings,Mass Market,28028.8,0,2.7,Android 12,0,4.3,4.0,VERIFIED,0.96,0.93,0.9,0.93,1,1.0,388384.25,13395.1,14.64,0.3904,613.0,0.0,0.4172230175920573,-3463.229166666664,0.3904146700386739,0.1785714285714285,0.933
99,8104.051919191919,2623.93,127233.97,83868.83,35037.441414141416,1624.18,240184.89,2005199914.723412,12,0.3169847360616548,20952.19166666667,4110.745,1415186448.776688,0.367789507238711,45906.236666666664,-24954.045,8.25,0.2295087122374309,0.3935537474096726,251426.3,550874.84,270961.79,212341.65,67571.40000000001,0.0,47351.26,26379.41,0.1226619825294616,0.0,0.2197414389083371,0.4059189379569414,0.1049190558028336,0.0,0.0,0.0321032450855806,0.0857315247870097,0.0859564760663239,2.1909992709593227,-1.190999270959323,0.4918754140232652,0.385462603447273,0.1226619825294617,0.0353803778731299,0.7632392449974608,Male,42,High School,Self-Employed Professional,2065426.23,172118.85,Savings,Affluent,324053.72,1,0.3,Android 14,0,2.3,1.2,VERIFIED,0.86,0.93,0.95,0.85,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.3780952033070957,126212.61333333334,0.0,1.25,0.8970000000000001
95,7076.234736842106,1701.57,136437.58,41480.65,26261.362105263157,249.16,138645.67,952260995.4823444,12,0.2688262334796721,28415.49416666666,4049.16,2436803165.579063,0.3754876098993546,27604.6975,810.7966666666644,7.916666666666667,0.0174553211013476,0.5491056238362961,340985.93,331256.37,95904.47,210609.29,24742.61,0.0,62560.079999999994,21687.52,0.0746932353331047,0.0,0.2401302350804605,0.1006603737159831,0.063602389693909,0.0,0.0,0.2359637038828868,0.0942249653946277,0.1888569871124289,0.9714663886571508,0.0285336113428491,0.2895173608284122,0.6357894038384831,0.0746932353331047,0.0090260000132223,0.9513367101835896,Female,52,Bachelor's,Salaried - Private,276908.53,23075.71,Salary,Mass Market,23257.34,0,5.0,Android 14,0,5.9,6.6,VERIFIED,0.91,0.99,0.92,0.82,1,1.0,987745.08,22998.47,14.03,0.9967,617.0,0.0,0.4449348154741313,-27527.457499999997,0.9966527573799464,0.0980392156862745,0.918
100,7540.605,2105.3500000000004,137477.95,36880.84,26363.6049,1360.0,141182.45,1020613058.3160352,12,0.2828519354495782,31385.596666666668,5209.9800000000005,2491506664.48397,0.3964127077014453,31452.778333333332,-67.18166666666609,8.333333333333334,0.0012493978560189,0.5135202313294521,376627.16,377433.34,155997.55,202794.41,18641.38,0.0,86793.94,49251.81,0.0493898604717855,0.0,0.2739114143970429,0.1833531982097818,0.1307707335817204,0.0,0.0,0.0893100222677731,0.0435857627203786,0.2299583285355766,1.0021405253938669,-0.0021405253938669,0.4133115267453585,0.537298612782856,0.0493898604717855,0.0432394234171257,0.8381963787300826,Male,54,Bachelor's,Self-Employed Professional,330155.6,27512.97,Savings,Mass Market,22252.15,0,1.5,Android 14,0,7.4,6.8,VERIFIED,0.94,0.99,0.85,0.84,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.443255717152648,-3939.80833333333,0.0,0.3125,0.917
90,4724.047222222222,1006.09,123879.87,20453.34,19651.604555555554,490.75,135818.16,934818254.3182678,12,0.2545218987261925,17696.3425,3629.215,1357330894.422075,0.3340959061992774,17734.011666666665,-37.66916666666547,7.5,0.0013641086816024,0.4567037378871214,212356.11,212808.14,61018.48,122100.49,29689.17,0.0,42825.060000000005,24295.72,0.1395114397409798,0.0,0.1471126057490094,0.0854921245023803,0.1144102705592036,0.0,0.0,0.146041876029742,0.1664368195690258,0.2012378849793997,1.0021286413656756,-0.0021286413656757,0.2867300094817802,0.57375855077724,0.1395114397409798,0.0276728136433127,1.1081308011369615,Male,45,Bachelor's,Salaried - Private,320494.74,26707.9,Savings,Mass Market,3912.36,0,1.8,Android 14,1,4.6,5.7,VERIFIED,0.95,0.89,0.93,0.88,1,2.0,3353435.19,30542.13,11.465,1.1436,539.0,0.0,0.383139038874415,-21568.24166666666,1.1435616428098052,0.763157894736842,0.914
91,5917.37989010989,889.94,127179.41,36297.85,19281.344835164837,118.62,130376.64,812578664.5021743,12,0.2532289589776696,24566.56,848.0350000000001,2097724849.958891,0.3590771659122551,20306.904166666664,4259.655833333335,7.583333333333333,0.0855209761424378,0.4266951045607101,294798.72,243682.85,136282.94,100513.95,6885.959999999999,0.0,104194.88,23419.36,0.0282578769905227,0.0,0.2239151421612148,0.1316795991182801,0.0794418646051109,0.0,0.0,0.0771152340019004,0.0153422778829121,0.4275839682603843,0.8266075578618524,0.1733924421381477,0.5592635673786646,0.4124785556308127,0.0282578769905227,0.0058413630667894,0.9494970122927324,Female,68,High School,Salaried - Govt,230638.09,19219.84,Salary,Mass Market,7617.58,0,4.2,Android 13,0,2.4,6.9,REJECTED,0.68,0.54,0.35,0.41,0,1.0,1300445.7,21953.51,10.54,1.1422,635.0,0.0,0.3861243413716371,-23040.57416666666,1.1422316731044586,0.1162790697674418,0.518
96,7165.219791666666,1924.05,147860.57,42107.12,25167.660520833335,433.41,151687.03,883449799.9239901,12,0.2629206535280134,30064.944999999996,5069.305,2617724982.1589365,0.3803338085086877,27256.813333333335,2808.1316666666676,8.0,0.0757211858994249,0.5556353075281412,360779.34,327081.76,174274.21,83734.57,69072.98000000001,0.0,97675.73999999998,21795.069999999996,0.2111795533936224,0.0,0.069779250301209,0.2341875315823175,0.0604110811888507,0.0,0.0,0.0248166085446036,0.0947742240349935,0.2986279026993129,0.9065978112826528,0.0934021887173473,0.5328154342816304,0.2560050123247472,0.2111795533936224,0.0159009783975725,0.9233530058356052,Female,34,Bachelor's,Self-Employed Business,287966.33,23997.19,Savings,Mass Market,35947.65,0,0.5,Android 13,0,8.3,6.6,VERIFIED,0.99,1.0,0.96,0.89,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4504544081164691,-3259.6233333333366,0.0,0.8333333333333334,0.967
94,8031.022340425532,2276.0299999999997,76642.76,93947.92,31867.558085106382,1948.51,223553.38,1630199554.9168184,12,0.3235726622495156,21039.335,5373.3099999999995,956708948.0809726,0.4153716682113955,41870.34,-20831.005,7.833333333333333,0.229082300502527,0.4173648590743983,252472.02,502444.08,134295.83,255650.81,112497.44,0.0,37194.100000000006,28416.81,0.2239004189282119,0.0,0.0861122495462579,0.1932587801611674,0.1125542941352471,0.0,0.0,0.2494577107963935,0.1166873336431787,0.0740263473698406,1.9900980710654592,-0.9900980710654592,0.2672851275310079,0.50881445354078,0.2239004189282118,0.0465367608670003,0.7611010105269359,Female,63,High School,Salaried - Private,983130.15,81927.51,Savings,Affluent,317501.3,0,0.9,Android 14,0,2.0,1.0,VERIFIED,0.92,0.97,0.86,0.82,1,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.4161689445565966,40057.17,0.0,0.5,0.903
100,4478.0521,920.385,105857.53,19850.65,16364.3449,149.43,106006.96,487294582.61681515,12,0.2655477683894832,17501.664166666666,2611.75,1062372903.6088812,0.3593304550415345,19815.436666666665,-2313.7724999999996,8.333333333333334,0.060865720906644,0.5131772580325416,210019.97,237785.24,57002.32,122581.1,58201.81999999999,0.0,41980.630000000005,42098.399999999994,0.2447663278006658,0.0,0.1325846381381788,0.0631733491952654,0.2004495096347266,0.0,0.0,0.1349937027209931,0.0708896817985842,0.1765485107486065,1.132202999552852,-0.132202999552852,0.239721859943872,0.5155118122554622,0.2447663278006658,0.0075410904394234,0.8258382177127563,Male,54,Bachelor's,Unemployed,347099.35,28924.95,Salary,Mass Market,72771.34,0,0.8,Android 12,0,7.1,1.0,VERIFIED,0.93,0.94,0.89,0.83,1,1.0,1765854.71,155962.11,10.87,5.392,636.0,0.0,0.4208691762379373,-146852.59666666665,5.391957808051526,0.5555555555555556,0.905
91,6070.550659340659,1646.96,129347.15,29082.07,19605.8521978022,1540.34,136705.96,827324389.9747794,12,0.2428848863121168,27831.784166666665,6134.8150000000005,2356415259.379117,0.3745542152187321,18203.225,9628.559166666664,7.583333333333333,0.1488384453604351,0.4576223694634709,333981.41,218438.7,52848.56,117961.71,47628.43,0.0,7976.950000000001,72438.04,0.2180402556872934,0.0,0.0267194869773533,0.2054196898260243,0.2168924312284327,0.0,0.0,0.1328813987631312,0.0488038978441091,0.0365180254231507,0.6540444870868711,0.3459555129131288,0.2419377152491751,0.5400220290635314,0.2180402556872935,0.0846190716205507,1.077053774691144,Male,32,Diploma,Salaried - Private,450215.28,37517.94,Savings,Mass Market,21163.25,1,4.1,Android 14,0,7.3,6.7,VERIFIED,0.92,0.94,0.87,0.88,1,1.0,893151.74,20057.75,12.42,0.5346,631.0,0.0,0.4077814769166276,-743.0350000000035,0.5346175722867513,0.119047619047619,0.908
